interface_type, frequency
java.awt.dnd.Autoscroll, 4
org.w3c.dom.ls.LSParser, 4
javax.xml.crypto.dom.DOMURIReference, 4
java.lang.reflect.AnnotatedArrayType, 4
org.w3c.dom.ls.DOMImplementationLS, 4
javax.lang.model.element.Name, 4
javax.sql.rowset.spi.SyncResolver, 4
org.w3c.dom.DOMImplementationSource, 4
javax.lang.model.util.Elements, 4
org.w3c.dom.Entity, 4
javax.management.remote.JMXConnectorProvider, 4
javax.naming.ldap.LdapContext, 4
java.rmi.dgc.DGC, 4
java.sql.Array, 4
com.sun.jdi.connect.Connector.BooleanArgument, 4
org.w3c.dom.ranges.DocumentRange, 4
java.awt.event.WindowStateListener, 4
java.lang.annotation.Annotation, 4
java.util.random.RandomGenerator.LeapableGenerator, 4
javax.swing.text.html.parser.DTDConstants, 4
javax.lang.model.type.IntersectionType, 4
org.w3c.dom.events.EventListener, 4
javax.swing.ListModel, 4
javax.sql.rowset.WebRowSet, 4
javax.imageio.event.IIOReadUpdateListener, 4
javax.swing.ComboBoxEditor, 4
java.util.prefs.NodeChangeListener, 4
javax.management.loading.ClassLoaderRepository, 4
javax.management.remote.rmi.RMIServer, 4
java.lang.reflect.AnnotatedParameterizedType, 4
org.w3c.dom.traversal.TreeWalker, 4
javax.xml.crypto.XMLStructure, 4
java.sql.Ref, 4
javax.sql.RowSet, 4
java.nio.channels.WritableByteChannel, 4
java.net.SocketOption, 4
org.w3c.dom.traversal.DocumentTraversal, 4
javax.sql.rowset.RowSetFactory, 4
java.sql.Blob, 4
jdk.dynalink.linker.LinkerServices, 4
javax.sql.rowset.CachedRowSet, 4
javax.xml.xpath.XPathFunctionResolver, 4
java.io.DataOutput, 4
java.sql.SQLData, 4
com.sun.jdi.connect.Connector.IntegerArgument, 4
org.w3c.dom.EntityReference, 4
javax.naming.Referenceable, 4
java.lang.reflect.AnnotatedWildcardType, 4
java.security.SecureRandomParameters, 3
java.util.concurrent.CompletionStage, 3
javax.sound.midi.MidiDevice, 3
javax.sound.sampled.Port, 3
java.nio.channels.InterruptibleChannel, 3
java.util.concurrent.ScheduledExecutorService, 3
java.awt.im.spi.InputMethodContext, 3
java.nio.file.attribute.FileOwnerAttributeView, 3
javax.xml.stream.events.ProcessingInstruction, 3
java.lang.reflect.GenericDeclaration, 3
java.lang.management.PlatformLoggingMXBean, 3
java.security.cert.PolicyNode, 3
javax.xml.xpath.XPathVariableResolver, 3
javax.xml.stream.events.StartDocument, 3
javax.xml.stream.events.EntityReference, 3
javax.print.AttributeException, 3
java.net.FileNameMap, 3
java.sql.Statement, 3
java.util.concurrent.ScheduledFuture, 3
java.nio.file.WatchKey, 3
javax.swing.ScrollPaneConstants, 3
javax.sound.sampled.TargetDataLine, 3
java.lang.invoke.TypeDescriptor.OfField, 3
javax.swing.event.DocumentEvent.ElementChange, 3
javax.xml.stream.events.StartElement, 3
javax.xml.xpath.XPathNodes, 3
javax.swing.text.Style, 3
java.awt.PrintGraphics, 3
java.nio.file.FileVisitor, 3
javax.swing.undo.UndoableEdit, 3
javax.swing.text.MutableAttributeSet, 3
java.awt.Adjustable, 3
javax.xml.xpath.XPath, 3
javax.xml.xpath.XPathEvaluationResult, 3
java.net.CookieStore, 3
javax.xml.stream.events.EntityDeclaration, 3
java.text.AttributedCharacterIterator, 3
java.security.interfaces.DSAKeyPairGenerator, 3
javax.xml.transform.sax.TemplatesHandler, 3
org.w3c.dom.ElementTraversal, 3
java.applet.AppletContext, 3
java.nio.file.DirectoryStream.Filter, 3
javax.xml.stream.events.Namespace, 3
javax.xml.xpath.XPathExpression, 3
java.applet.AppletStub, 3
javax.swing.RootPaneContainer, 3
java.util.random.RandomGenerator.ArbitrarilyJumpableGenerator, 3
java.lang.ref.Cleaner.Cleanable, 3
javax.imageio.metadata.IIOMetadataFormat, 3
java.time.chrono.ChronoLocalDateTime, 3
javax.xml.stream.events.EndDocument, 3
javax.xml.stream.util.XMLEventAllocator, 3
javax.xml.stream.XMLStreamConstants, 3
javax.xml.stream.events.XMLEvent, 3
javax.sound.midi.Sequencer, 3
javax.accessibility.AccessibleHypertext, 3
java.sql.PreparedStatement, 3
java.lang.ProcessHandle, 3
java.nio.file.WatchEvent, 3
javax.xml.transform.sax.TransformerHandler, 3
javax.accessibility.AccessibleTableModelChange, 3
javax.xml.stream.events.NotationDeclaration, 3
java.nio.channels.SeekableByteChannel, 3
javax.xml.stream.events.Comment, 3
java.time.chrono.ChronoPeriod, 3
java.applet.AudioClip, 3
javax.xml.stream.events.Attribute, 3
java.lang.ProcessHandle.Info, 3
javax.accessibility.AccessibleExtendedText, 3
javax.imageio.spi.RegisterableService, 3
javax.swing.ListSelectionModel, 3
javax.swing.plaf.synth.SynthUI, 3
javax.xml.stream.events.EndElement, 3
java.time.chrono.ChronoZonedDateTime, 3
javax.xml.stream.events.DTD, 3
java.util.regex.MatchResult, 3
java.nio.file.attribute.AclFileAttributeView, 3
java.lang.management.OperatingSystemMXBean, 3
javax.print.FlavorException, 3
java.nio.file.attribute.UserDefinedFileAttributeView, 3
javax.accessibility.AccessibleExtendedTable, 3
javax.swing.plaf.synth.SynthConstants, 3
javax.xml.stream.events.Characters, 3
javax.xml.crypto.dsig.CanonicalizationMethod, 2
javax.lang.model.AnnotatedConstruct, 2
com.sun.source.tree.MethodInvocationTree, 2
com.sun.source.tree.LambdaExpressionTree, 2
javax.lang.model.element.ModuleElement.OpensDirective, 2
java.sql.DriverAction, 2
com.sun.source.tree.InstanceOfTree, 2
